,date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
173,2020-12-11,2330,51296611,26259941709,517.0,517.0,505.0,516.0,4.0,50929
174,2020-12-14,2330,30809747,15703026732,512.0,513.0,508.0,508.0,-8.0,33415
175,2020-12-15,2330,43059899,21780400998,507.0,510.0,504.0,504.0,-4.0,43967
176,2020-12-16,2330,53661282,27504184031,509.0,515.0,507.0,512.0,8.0,30574
177,2020-12-17,2330,39285785,20052530030,515.0,515.0,508.0,508.0,0.0,34785
178,2020-12-18,2330,40625502,20690792789,508.0,512.0,507.0,510.0,2.0,20638
179,2020-12-21,2330,35153138,18033402498,512.0,517.0,508.0,516.0,6.0,21765
180,2020-12-22,2330,25632245,13125205685,512.0,516.0,509.0,509.0,-7.0,25973
181,2020-12-23,2330,18320849,9321219765,508.0,511.0,506.0,509.0,0.0,16428
182,2020-12-24,2330,15218008,7759366699,511.0,512.0,508.0,510.0,1.0,12743
183,2020-12-25,2330,12581145,6449612552,514.0,515.0,510.0,511.0,1.0,14988
184,2020-12-28,2330,19520886,10023145125,512.0,515.0,509.0,515.0,4.0,16675
185,2020-12-29,2330,20226736,10409159045,515.0,517.0,513.0,515.0,0.0,17187
186,2020-12-30,2330,46705107,24306881615,516.0,525.0,514.0,525.0,10.0,33173
187,2020-12-31,2330,31173332,16437646054,526.0,530.0,524.0,530.0,5.0,25138
188,2021-01-04,2330,39489959,21127581248,530.0,540.0,528.0,536.0,6.0,33316
189,2021-01-05,2330,34839391,18761831567,536.0,542.0,535.0,542.0,6.0,28512
190,2021-01-06,2330,55614434,30572783229,555.0,555.0,541.0,549.0,7.0,55462
191,2021-01-07,2330,53392763,30018630685,554.0,570.0,553.0,565.0,16.0,47905
192,2021-01-08,2330,62957148,36339702855,580.0,580.0,571.0,580.0,15.0,56426
193,2021-01-11,2330,52771778,30535694908,577.0,584.0,574.0,584.0,4.0,49539
194,2021-01-12,2330,52605212,30958142918,583.0,597.0,582.0,591.0,7.0,59595
195,2021-01-13,2330,75707681,45419255149,595.0,605.0,593.0,605.0,14.0,59966
196,2021-01-14,2330,90309708,53477747672,587.0,597.0,587.0,592.0,-13.0,111849
197,2021-01-15,2330,100998199,61876473170,621.0,625.0,601.0,601.0,9.0,105961
198,2021-01-18,2330,50388664,30406611574,608.0,608.0,594.0,607.0,6.0,49008
199,2021-01-19,2330,52947466,32934404720,618.0,632.0,613.0,627.0,20.0,55490
200,2021-01-20,2330,95484470,61279319857,633.0,650.0,631.0,647.0,20.0,95577
201,2021-01-21,2330,97590371,64624578866,640.0,679.0,640.0,673.0,26.0,115004
202,2021-01-22,2330,134238314,88023707664,649.0,665.0,649.0,649.0,-24.0,235186
203,2021-01-25,2330,98608285,62583576696,642.0,646.0,626.0,633.0,-16.0,154134
204,2021-01-26,2330,114797609,71638808826,632.0,640.0,610.0,617.0,-16.0,177764
205,2021-01-27,2330,72823691,44931754892,618.0,625.0,611.0,615.0,-2.0,77274
206,2021-01-28,2330,104181514,62647021616,600.0,608.0,598.0,601.0,-14.0,157835
207,2021-01-29,2330,96875889,58399782288,619.0,619.0,591.0,591.0,-10.0,129394
208,2021-02-01,2330,70161939,42004241697,595.0,612.0,587.0,611.0,20.0,81346
209,2021-02-02,2330,80724207,50938461582,629.0,638.0,622.0,632.0,21.0,82687
210,2021-02-03,2330,59763227,37926170035,638.0,642.0,630.0,630.0,-2.0,56515
211,2021-02-04,2330,47547873,29765963971,626.0,632.0,620.0,627.0,-3.0,44668
212,2021-02-05,2330,57350831,36435290641,638.0,641.0,631.0,632.0,5.0,51140
213,2021-02-17,2330,115578402,76728732025,663.0,668.0,660.0,663.0,31.0,91925
214,2021-02-18,2330,54520341,36024245089,664.0,665.0,656.0,660.0,-3.0,49914
215,2021-02-19,2330,51651844,33676514428,656.0,657.0,647.0,652.0,-8.0,63171
216,2021-02-22,2330,39512078,25885948680,660.0,662.0,650.0,650.0,-2.0,47116
217,2021-02-23,2330,52868029,33779796222,641.0,643.0,633.0,641.0,-9.0,73349
218,2021-02-24,2330,80010637,50333904697,627.0,636.0,625.0,625.0,-16.0,138264
219,2021-02-25,2330,45279276,28634410089,636.0,636.0,628.0,635.0,10.0,46506
220,2021-02-26,2330,137933162,84194194399,611.0,618.0,606.0,606.0,-29.0,212428
221,2021-03-02,2330,57792973,35565213485,621.0,622.0,609.0,609.0,3.0,71325
222,2021-03-03,2330,61171387,37550028241,609.0,622.0,601.0,622.0,13.0,57677
223,2021-03-04,2330,75508388,45662897489,609.0,611.0,601.0,601.0,-21.0,143916
224,2021-03-05,2330,85579527,50968119396,588.0,605.0,584.0,601.0,0.0,127693
225,2021-03-08,2330,47676630,28737004484,608.0,610.0,598.0,598.0,-3.0,84570
226,2021-03-09,2330,74471341,43957092621,585.0,595.0,585.0,595.0,-3.0,119867
227,2021-03-10,2330,41735443,24904320192,601.0,601.0,593.0,597.0,2.0,54196
228,2021-03-11,2330,55462783,33584884382,596.0,612.0,595.0,609.0,12.0,47948
229,2021-03-12,2330,33876990,20780886905,615.0,618.0,609.0,614.0,5.0,36145
230,2021-03-15,2330,29767904,18194081208,614.0,614.0,609.0,611.0,-3.0,26753
231,2021-03-16,2330,37780820,23074187740,610.0,613.0,607.0,613.0,2.0,37573
232,2021-03-17,2330,43942131,26638906800,612.0,612.0,602.0,604.0,0.0,68585
233,2021-03-18,2330,30223846,18286667342,606.0,609.0,602.0,602.0,-2.0,31677
234,2021-03-19,2330,74960854,44407634402,594.0,598.0,591.0,591.0,-11.0,106938
235,2021-03-22,2330,35931375,21250445678,588.0,598.0,586.0,593.0,2.0,55005
236,2021-03-23,2330,31933358,19057386513,597.0,603.0,593.0,594.0,1.0,36423
237,2021-03-24,2330,115318351,66559451738,571.0,582.0,571.0,576.0,-18.0,242138
238,2021-03-25,2330,74225812,42594849855,572.0,581.0,570.0,575.0,-1.0,115951
239,2021-03-26,2330,37937242,22271364837,582.0,592.0,580.0,590.0,15.0,49718
240,2021-03-29,2330,40573913,24302039570,599.0,602.0,596.0,599.0,9.0,44500
241,2021-03-30,2330,34686346,20661203325,600.0,600.0,592.0,597.0,-2.0,46755
242,2021-03-31,2330,44454672,26217366895,596.0,597.0,587.0,587.0,-10.0,70527
243,2021-04-01,2330,45972766,27520742963,598.0,602.0,594.0,602.0,15.0,48170
244,2021-04-06,2330,37664216,23045132094,615.0,616.0,608.0,610.0,8.0,42422
245,2021-04-07,2330,28140964,17175949080,614.0,614.0,608.0,610.0,0.0,28395
246,2021-04-08,2330,26658283,16217570357,606.0,613.0,603.0,613.0,3.0,32098
247,2021-04-09,2330,31601619,19344167081,618.0,618.0,609.0,610.0,-3.0,28920
248,2021-04-12,2330,23319822,14155495430,612.0,613.0,603.0,605.0,-5.0,33422
249,2021-04-13,2330,27386926,16638680378,604.0,613.0,604.0,605.0,0.0,30438
250,2021-04-14,2330,31144922,18868308243,608.0,612.0,600.0,612.0,7.0,41234
